5.68563e-10, 18.1297, 1.05202e+08
2.84281e-10, 9.05224, 5.27981e+07
1.89521e-10, 6.03201, 3.52427e+07
1.42141e-10, 4.52295, 2.64485e+07
1.13713e-10, 3.61785, 2.11668e+07
9.47605e-11, 3.01459, 1.76434e+07
8.12233e-11, 2.58376, 1.51256e+07
7.10704e-11, 2.26068, 1.32367e+07
6.31737e-11, 2.00941, 1.17672e+07
5.68563e-11, 1.80842, 1.05913e+07
5.16875e-11, 1.64397, 9.62913e+06
4.73802e-11, 1.50694, 8.8272e+06
4.37356e-11, 1.391, 8.14858e+06
4.06116e-11, 1.29162, 7.56685e+06
3.79042e-11, 1.2055, 7.06264e+06
3.55352e-11, 1.13014, 6.62144e+06
3.34449e-11, 1.06365, 6.23211e+06
3.15868e-11, 1.00455, 5.88603e+06
2.99244e-11, 0.95167, 5.57636e+06
2.84281e-11, 0.90408, 5.29765e+06
2.70744e-11, 0.861023, 5.04547e+06
2.58438e-11, 0.82188, 4.81621e+06
2.47201e-11, 0.786142, 4.60687e+06
2.36901e-11, 0.753382, 4.41498e+06
2.27425e-11, 0.723244, 4.23843e+06
2.18678e-11, 0.695423, 4.07546e+06
2.10579e-11, 0.669664, 3.92456e+06
2.03058e-11, 0.645745, 3.78444e+06
1.96056e-11, 0.623476, 3.65397e+06
1.89521e-11, 0.602692, 3.5322e+06
1.83407e-11, 0.583248, 3.41829e+06
1.77676e-11, 0.56502, 3.31149e+06
1.72292e-11, 0.547897, 3.21117e+06
1.67224e-11, 0.531781, 3.11674e+06
1.62447e-11, 0.516586, 3.02771e+06
1.57934e-11, 0.502235, 2.94363e+06
1.53666e-11, 0.48866, 2.86409e+06
1.49622e-11, 0.4758, 2.78873e+06
1.45785e-11, 0.463599, 2.71724e+06
1.42141e-11, 0.452008, 2.64932e+06
1.38674e-11, 0.440983, 2.58471e+06
1.35372e-11, 0.430482, 2.52318e+06
1.32224e-11, 0.420471, 2.46452e+06
1.29219e-11, 0.410914, 2.40851e+06
1.26347e-11, 0.401782, 2.355e+06
1.23601e-11, 0.393047, 2.30381e+06
1.20971e-11, 0.384684, 2.2548e+06
1.18451e-11, 0.376669, 2.20784e+06
1.16033e-11, 0.368981, 2.16278e+06
1.13713e-11, 0.361601, 2.11953e+06
1.11483e-11, 0.354511, 2.07798e+06
1.09339e-11, 0.347693, 2.03803e+06
1.07276e-11, 0.341132, 1.99958e+06
1.05289e-11, 0.334815, 1.96255e+06
1.03375e-11, 0.328727, 1.92688e+06
1.01529e-11, 0.322856, 1.89247e+06
9.97479e-12, 0.317192, 1.85928e+06
9.80281e-12, 0.311723, 1.82722e+06
9.63666e-12, 0.306439, 1.79626e+06
9.47605e-12, 0.301332, 1.76632e+06
9.3207e-12, 0.296392, 1.73737e+06
9.17037e-12, 0.291611, 1.70935e+06
9.02481e-12, 0.286982, 1.68222e+06
8.8838e-12, 0.282498, 1.65594e+06
8.74712e-12, 0.278151, 1.63047e+06
8.61459e-12, 0.273937, 1.60577e+06
8.48601e-12, 0.269848, 1.5818e+06
8.36122e-12, 0.265879, 1.55854e+06
8.24004e-12, 0.262026, 1.53596e+06
8.12233e-12, 0.258283, 1.51402e+06
8.00793e-12, 0.254645, 1.4927e+06
7.89671e-12, 0.251108, 1.47197e+06
7.78853e-12, 0.247668, 1.4518e+06
7.68328e-12, 0.244321, 1.43219e+06
7.58084e-12, 0.241063, 1.41309e+06
7.48109e-12, 0.237891, 1.3945e+06
7.38393e-12, 0.234801, 1.37639e+06
7.28927e-12, 0.231791, 1.35875e+06
7.197e-12, 0.228857, 1.34155e+06
7.10704e-12, 0.225996, 1.32478e+06
7.0193e-12, 0.223206, 1.30843e+06
6.93369e-12, 0.220484, 1.29247e+06
6.85016e-12, 0.217827, 1.2769e+06
6.76861e-12, 0.215234, 1.2617e+06
6.68898e-12, 0.212702, 1.24686e+06
6.6112e-12, 0.210228, 1.23237e+06
6.53521e-12, 0.207812, 1.2182e+06
6.46094e-12, 0.20545, 1.20436e+06
6.38835e-12, 0.203142, 1.19083e+06
6.31737e-12, 0.200885, 1.1776e+06
6.24794e-12, 0.198677, 1.16466e+06
6.18003e-12, 0.196517, 1.152e+06
6.11358e-12, 0.194404, 1.13961e+06
6.04854e-12, 0.192336, 1.12749e+06
5.98487e-12, 0.190311, 1.11562e+06
5.92253e-12, 0.188329, 1.104e+06
5.86147e-12, 0.186387, 1.09262e+06
5.80166e-12, 0.184485, 1.08147e+06
5.74306e-12, 0.182622, 1.07055e+06
